title|price|size|block|type|floor|year
安居花苑 2室1厅 518万|518|92|安居花苑|2室1厅|低楼层(共19层)|1999年建板楼  
2006年品质小区  满五不唯一  近地铁 业主诚心出售|710|104|泰鸿新苑|2室2厅|低楼层(共17层)|2006年建板楼  
宝立公寓 2室1厅 516万房主自荐|516|72|宝立公寓|2室1厅|高楼层(共6层)|1998年建板楼  
成熟社区正气南北4房+满五唯一+附赠阁楼+看房有钥匙！|670|97|新江湾时代花园|4室2厅|高楼层(共6层)|2000年建板楼  
国顺路400弄 1室1厅 229万|229|38|国顺路400弄|1室1厅|低楼层(共6层)|1982年建板楼  
.近东外滩的标志建筑渔人码头。地铁4号杨树浦路|718|123|海鹏花苑|3室2厅|低楼层(共24层)|1997年建塔楼  
多层高得房率+顶楼复式+户型方正+采光好+诚意出售|850|141|富天苑|3室2厅|高楼层(共6层)|2001年建板楼  
五年唯一，一房朝南，一房朝东，没有遮挡|560|92|益民小区|2室1厅|低楼层(共24层)|1999年建塔楼  
房型板正，精致装修，10号线国权路站，得房率高|305|48|国顺路375弄|2室0厅|高楼层(共6层)|1986年建板楼  
满五唯一，诚心出售，近地铁，中原城市广场，湿地公园|360|71|民京路837弄|2室1厅|高楼层(共6层)|1997年建板楼  
联升大厦，电梯房，内环内，诚意卖|660|118|联升大厦|2室2厅|低楼层(共27层)|2000年建塔楼  
一梯两户，户型正气，房东诚意出售，价格可谈|600|110|浣纱六村|3室2厅|高楼层(共7层)|1996年建板楼  
近五角场商圈+采光好+单价低+诚心出售|339|53|铁路新村(杨浦)|2室1厅|高楼层(共6层)|1986年建板楼  
12号线+平改坡可复试+售后公房满五+1T2户得房率高|430|75|舒兰公寓|2室1厅|高楼层(共7层)|1999年建板楼  
地铁交通便利 装修清爽 南北通风 采光优|225|35|延吉七村|1室1厅|高楼层(共6层)|1986年建板楼  
满五唯一，南北通透，楼层好，产权清晰，自带天井|305|67|工农二村|2室1厅|低楼层(共16层)|1991年建塔楼  
全明户型，精装修，拎包入住，看房预约，房东诚意出售|490|76|建信大楼|2室1厅|低楼层(共18层)|1992年建塔楼  
品质小区 高区采光好  次新房 紧靠地铁 交通方便房主自荐|635|78|泰鸿新苑|1室2厅|高楼层(共14层)|2006年建板楼  
控江四村 2室1厅 330万|330|56|控江四村|2室1厅|高楼层(共6层)|1985年建板楼  
闹中取静，房龄新，环境好，双天井，业主诚意|540|89|工农四村星源花苑|2室1厅|低楼层(共6层)|1999年建板楼  
正气房型，交通方便，闹中取静.|295|60|开鲁二村|2室1厅|高楼层(共6层)|1991年建板楼  
楼层佳，诚意卖房，近地铁，随时好看|538|79|白洋淀绿苑|2室1厅|低楼层(共6层)|2000年建板楼  
满五唯一 房型正气 单价小区很低|200|43|市光四村|1室1厅|高楼层(共6层)|1995年建板楼  
地铁8号线+双南一北全明户型+售后公房税费少+看中可谈|500|100|开鲁四村|3室2厅|高楼层(共6层)|1990年建板楼  
售后公房，户型正气，采光好，房东诚意出售|345|74|民星路330弄|2室1厅|高楼层(共7层)|1996年建板楼  
恒阳花苑 3室2厅 950万|950|115|恒阳花苑|3室2厅|高楼层(共28层)|2007年建板楼  
市光二村 2室1厅 355万|355|63|市光二村|2室1厅|高楼层(共18层)|1992年建塔楼  
满五唯一(税费低)+看中可谈+小区进门位置+出行便利|830|95|合生高尔夫公寓|2室2厅|中楼层(共11层)|2010年建板楼  
