|price|size|type|floor|year
525|190|28|2|6|1988
526|400|85|3|30|2005
527|1500|222|7|12|2004
528|205|41|1|6|1990
529|420|54|2|11|2012
530|276|54|3|6|1994
531|200|48|2|6|1994
532|890|124|5|6|2003
533|305|46|3|7|1992
534|760|96|4|14|2005
535|840|105|4|11|2002
536|555|77|4|25|2005
537|283|46|2|7|1996
538|639|90|4|34|1997
539|795|141|4|28|1998
540|450|66|2|22|2003
541|470|66|2|22|2003
542|590|95|4|7|2000
543|660|104|4|24|1999
544|695|85|4|8|2003
545|550|88|3|19|1991
546|750|109|5|6|1995
547|630|117|5|7|1999
548|570|102|4|24|1997
549|275|46|3|6|
550|460|64|3|5|1995
551|2200|205|9|6|2004
552|236|51|2|6|1990
553|396|69|4|6|1992
554|718|84|3|31|2012
555|730|91|4|16|2008
556|355|64|3|7|1995
557|230|42|2|6|1990
558|340|59|3|5|1983
559|630|108|5|6|2000
560|300|46|3|5|1972
561|270|45|2|7|1997
562|545|74|3|35|
563|630|104|4|24|1999
564|760|96|4|11|2008
565|415|66|4|6|1986
566|305|47|3|6|1985
567|533|89|4|20|2000
568|580|85|4|6|2000
569|780|108|4|11|2008
